Customer_Service,Satisfaction,Customer_Service_TH
"I thought the representative handled the initial situation badly.  The company was out of cars, with none coming in that day.  Then the representative tried to find us a car at another franchise.  There they were successful.",0,ฉันคิดว่าตัวแทนจัดการกับสถานการณ์เบื้องต้นได้ไม่ดี บริษัทไม่มีรถเข้ามาเลยในวันนั้น จากนั้นตัวแทนก็พยายามหารถให้เราที่แฟรนไชส์อื่น ที่นั่นพวกเขาประสบความสำเร็จ
"I have had a few recent rentals that have taken a very very long time, with no offer of apology.  In the most recent case, the agent subsequently offered me a car type on an upgrade coupon and then told me it was no longer available because it had just be",0,ฉันมีห้องเช่าบางห้องเมื่อเร็วๆ นี้ซึ่งใช้เวลานานมาก โดยไม่มีข้อเสนอคำขอโทษใดๆ ในกรณีล่าสุด ตัวแทนได้เสนอประเภทรถให้ฉันด้วยคูปองอัปเกรด จากนั้นบอกฉันว่าไม่มีให้บริการแล้วเนื่องจากเพิ่งจะใช้งาน
car cost more because I didn't pay when I reserved it,0,ค่ารถแพงขึ้นเพราะไม่ได้จ่ายตอนที่จองไว้
I didn't get the car I was told would be available.  There were some hidden fees added on to the price I was quoted.,0,ฉันไม่ได้รับรถที่ฉันบอกว่าจะว่าง มีค่าธรรมเนียมซ่อนเร้นเพิ่มเติมจากราคาที่ฉันเสนอมา
If there was not a desired vehicle available the reps explored all options including competitors to assist in finding an available vehicle. This level of service brought me back not to their competitor but the company as this reflects on their overall quality.,1,หากไม่มียานพาหนะที่ต้องการ ตัวแทนจะสำรวจตัวเลือกทั้งหมดรวมถึงคู่แข่งเพื่อช่วยในการค้นหายานพาหนะที่พร้อมใช้งาน การบริการระดับนี้ไม่ได้ทำให้ฉันกลับมาหาคู่แข่งแต่รวมถึงบริษัทด้วย เนื่องจากสิ่งนี้สะท้อนถึงคุณภาพโดยรวมของพวกเขา
"Initially the representative handled the situation badly.  No car was available, even next day.  Then the rep helped to find us a car in another agency.",0,ในตอนแรกตัวแทนจัดการสถานการณ์ได้ไม่ดี ไม่มีรถว่างแม้แต่วันถัดไป จากนั้นตัวแทนก็ช่วยหารถให้เราในเอเจนซี่อื่น
"I have had a few issues with rentals recently, with no offer of apology.  Last time, the agent offered me an upgrade coupon but now he told me it is no longer available.",0,ฉันมีปัญหาเล็กน้อยเกี่ยวกับการเช่าเมื่อเร็วๆ นี้ โดยไม่มีข้อเสนอขอโทษ ครั้งล่าสุด ตัวแทนเสนอคูปองอัปเกรดให้ฉัน แต่ตอนนี้เขาบอกฉันว่าคูปองนี้ไม่สามารถใช้ได้อีกต่อไป
Car rental cost was higher because I decided to pay cash,0,ค่าเช่ารถก็สูงขึ้นเพราะผมตัดสินใจจ่ายเงินสด
I had to pay more because of some hidden fees. It disappointed me.,0,ฉันต้องจ่ายเพิ่มเพราะว่ามีค่าธรรมเนียมแอบแฝงอยู่บ้าง มันทำให้ฉันผิดหวัง
Although there were no available car in category stuff assisted in finding an available vehicle.,1,แม้ว่าจะไม่มีรถอยู่ในหมวดหมู่ที่ช่วยในการค้นหารถที่พร้อมใช้งาน
